reference;periode;type_document;parties;description_contenu;depose_par;date_depot;date_execution;criticite;montant;droit_ubi_paye;statut;source_registre
CO-II-407-004;archives;Contrat commercial;Ther-Félis ↔ Palyr;Achat de lames d'épée, fers de lance, carreaux d'arbalète et pointes trempées;;407-VI-05;407-X-22;II;10'600 couronnes;212 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-407-001;archives;Contrat d'exclusivité;Ther-Félis ↔ Sfaal;Exclusivité d'achat de cire claire pour archives;;407-VII-16;407-XI-13;I;4'350 couronnes;87 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-407-002;archives;Contrat de service;Il-Irion ↔ Palyr;Mise en ordre d'archives notariales et reliure de liasses;;407-X-22;407-XI-20;I;5'150 couronnes;103 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-407-006;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la deuxième régate;;407-XII-01;407-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-II-408-003;archives;Contrat commercial;Il-Irion ↔ Arthas;Vente de miel clair, épices entières, fruits confits et sucre de pain;;408-VIII-10;408-IX-02;II;10'850 couronnes;217 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-III-408-004;archives;Contrat d'exploitation;Il-Irion ↔ Sfaal;Exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;408-VIII-11;408-IX-18;III;8'100 couronnes;162 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-408-005;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat EP-III-408-004 : exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;408-VIII-11;408-IX-18;III;4'050 couronnes;162 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-I-408-001;archives;Contrat commercial;Palyr ↔ Il-Irion;Achat de planches de chêne, poutres courtes et chevilles de charpente;;408-XII-01;408-XII-26;I;5'550 couronnes;111 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-409-002;archives;Contrat de dette;Sfaal ↔ Il-Irion;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;409-II-13;409-III-10;III;6'300 couronnes;126 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-409-001;archives;Contrat commercial;Arthas ↔ Il-Irion;Achat de fer doux, clous longs et bandes de cerclage;;409-III-07;409-VI-07;I;6'200 couronnes;124 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-410-004;archives;Contrat commercial;Ther-Félis ↔ Arthas;Fourniture de plantes médicinales fraîches, racines rares et fleurs de serre;;410-I-18;410-III-11;II;11'350 couronnes;227 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-410-003;archives;Contrat d'exclusivité;Il-Irion ↔ Arthas;Priorité sur peaux tannées pour équipements de garde;;410-VI-08;410-IX-18;I;5'400 couronnes;108 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-410-001;archives;Contrat commercial;Sfaal ↔ Il-Irion;Fourniture de pierres de taille, chaux vive et sable lavé;;410-VI-13;410-X-14;I;6'800 couronnes;136 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-410-002;archives;Contrat de service;Ther-Félis ↔ Il-Irion;Entretien de balances, poids étalons et tables de mesure;;410-IX-19;410-X-21;I;7'600 couronnes;152 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-410-005;archives;Contrat commercial;Sfaal ↔ Arthas;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;410-XII-03;411-I-16;III;6'750 couronnes;135 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-411-003;archives;Contrat commercial;Sfaal ↔ Il-Irion;Vente de lingots d'argent gris, grenaille d'étain pur et plaques de cuivre rouge;;411-III-23;411-VI-17;II;11'600 couronnes;232 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-411-004;archives;Contrat d'exclusivité;Il-Irion ↔ Sfaal;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;411-V-17;411-VII-02;III;8'250 couronnes;165 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-411-006;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat EC-III-411-004 : exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;411-V-17;411-VII-02;III;4'125 couronnes;165 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
EC-III-411-005;archives;Contrat d'exclusivité;Il-Irion ↔ Palyr;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;411-VIII-30;411-XI-20;III;8'500 couronnes;170 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-411-001;archives;Contrat de protection;Arthas ↔ Ther-Félis;Garde de halle pendant vente de lots saisis;;411-XI-24;411-XII-01;I;8'000 couronnes;160 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-412-001;archives;Contrat d'exploitation;Sfaal ↔ Arthas;Exploitation limitée d'une carrière de calcaire;;412-II-04;412-V-08;I;8'600 couronnes;172 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-412-002;archives;Contrat de dette;Ther-Félis ↔ Sfaal;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;412-III-12;412-V-20;III;6'200 couronnes;124 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-412-003;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la troisième régate;;412-XII-01;412-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
SE-I-413-003;archives;Contrat de service;Il-Irion ↔ Sfaal;Rédaction de contrats de vente pour marchands étrangers;;413-I-21;413-II-07;I;6'700 couronnes;134 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-413-001;archives;Contrat d'exclusivité;Ther-Félis ↔ Arthas;Priorité sur les cordages longs destinés aux quais;;413-V-10;413-IX-15;I;9'250 couronnes;185 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-413-004;archives;Contrat commercial;Arthas ↔ Il-Irion;Vente de fleurs coupées, bulbes rares et couronnes de serre;;413-VIII-05;413-XII-26;II;12'050 couronnes;241 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-413-002;archives;Contrat de service;Il-Irion ↔ Arthas;Expertise de cargaisons humides après avarie de mer;;413-VIII-16;413-IX-22;I;2'000 couronnes;40 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-413-005;archives;Contrat de dette;Sfaal ↔ Ther-Félis;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;413-IX-22;413-XI-20;III;6'150 couronnes;123 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-414-002;archives;Contrat de protection;Sfaal ↔ Arthas;Protection de coffre mobile pendant changement de comptoir;;414-III-26;414-V-13;I;7'100 couronnes;142 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-414-005;archives;Contrat d'exclusivité;Il-Irion ↔ Arthas;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;414-IV-01;414-VII-27;III;6'300 couronnes;126 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-414-006;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat EC-III-414-005 : exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;414-IV-01;414-VII-27;III;3'150 couronnes;126 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PB-III-414-007;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat PR-III-414-004 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;414-VII-11;414-IX-22;III;3'700 couronnes;148 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-414-004;archives;Contrat de protection;Il-Irion ↔ Arthas;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;414-VII-11;414-IX-22;III;7'400 couronnes;148 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-414-003;archives;Contrat commercial;Sfaal ↔ Palyr;Achat de pièces d'horlogerie, ressorts fins et cadrans d'émail;;414-X-10;414-XI-06;II;12'300 couronnes;246 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-415-004;archives;Contrat d'exclusivité;Palyr ↔ Il-Irion;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;415-II-22;415-III-13;III;8'800 couronnes;176 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-415-007;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat PR-III-415-003 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;415-III-11;415-VI-23;III;4'700 couronnes;188 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-415-003;archives;Contrat de protection;Il-Irion ↔ Arthas;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;415-III-11;415-VI-23;III;9'400 couronnes;188 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-415-002;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Vente de chanvre, cordage fin et grosses aussières;;415-IV-07;415-VIII-16;I;3'850 couronnes;77 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-415-005;archives;Contrat commercial;Palyr ↔ Ther-Félis;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;415-XI-03;416-II-13;III;7'200 couronnes;144 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-415-006;archives;Contrat de prêt bancaire;UBI ↔ Palyr;Prêt bancaire pour avance d'exécution liée au contrat CO-III-415-005 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;415-XI-03;416-II-13;III;3'600 couronnes;144 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-416-003;archives;Contrat commercial;Arthas ↔ Il-Irion;Fourniture de lances montées, boucliers peints et sangles de réserve;;416-II-17;416-IV-14;II;12'650 couronnes;253 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-416-001;archives;Contrat de service;Ther-Félis ↔ Sfaal;Réfection de toitures d'entrepôt et pose de gouttières;;416-VI-12;416-VII-22;I;4'250 couronnes;85 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-416-002;archives;Contrat d'exploitation;Arthas ↔ Il-Irion;Extraction de sel gris dans des bassins loués;;416-VII-07;416-X-21;I;7'750 couronnes;155 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-416-004;archives;Contrat d'exclusivité;Ther-Félis ↔ Sfaal;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;416-IX-03;416-X-17;III;6'950 couronnes;139 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-416-005;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat EC-III-416-004 : exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;416-IX-03;416-X-17;III;3'475 couronnes;139 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-417-004;archives;Contrat de protection;Sfaal ↔ Arthas;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;417-IV-09;417-V-18;III;7'750 couronnes;155 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-417-003;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Fourniture de dalles de marbre veiné, colonnettes et chaux fine;;417-V-23;417-VIII-21;II;10'000 couronnes;200 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-417-001;archives;Contrat de protection;Il-Irion ↔ Palyr;Escorte de chariots de pierre sur route de carrière;;417-IX-18;417-XI-03;I;4'850 couronnes;97 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-417-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la quatrième régate;;417-XII-01;417-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-I-418-003;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Vente de grains d'orge, pois secs et sacs de farine;;418-II-20;418-III-10;I;9'200 couronnes;184 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-418-002;archives;Contrat d'exclusivité;Arthas ↔ Sfaal;Exclusivité de vente de sel gris dans trois halles;;418-III-04;418-VII-17;I;6'300 couronnes;126 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-418-005;archives;Contrat commercial;Ther-Félis ↔ Palyr;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;418-IV-21;418-VI-13;III;8'350 couronnes;167 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-418-006;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat CO-III-418-005 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;418-IV-21;418-VI-13;III;4'175 couronnes;167 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-418-004;archives;Contrat commercial;Arthas ↔ Sfaal;Achat de pigments rares, laque rouge, bleu broyé et poudre d'or;;418-IX-04;418-XII-03;II;10'450 couronnes;209 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-418-001;archives;Contrat d'exploitation;Palyr ↔ Sfaal;Récolte de plantes tinctoriales sur coteaux communs;;418-XII-24;418-XII-10;I;5'500 couronnes;110 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
